"dataset_id","dataset_label","provider_ddb_id","provider_id","provider_name","provider_state","provider_sector","supplier_ddb_id","supplier_id","supplier_name","aggregator_ddb_id","aggregator_id","aggregator_name","count","ingest_id","metadata_format","ingest_complete_date"
"eeb243973be7302b97bd441c5695591106ed5936","00000850_tektonik","2IMVIKUTVTEKVX6C7CFHG73D4B4GZL5A","'00019824","Archive in NRW","Nordrhein-Westfalen","Archiv","DW7LTO2TEP24DRPJOO4WY23EUQ5N26S2","'00000850","Konrad-Adenauer-Stiftung e.V. - Archiv für Christlich-Demokratische Politik","","","","1458","eeb243973be7302b97bd441c5695591106ed5936","urn:isbn:1-931666-22-9","2018-04-18T16:12:18+0200"
"eeb243973be7302b97bd441c5695591106ed5936","00000850_tektonik","DW7LTO2TEP24DRPJOO4WY23EUQ5N26S2","'00000850","Konrad-Adenauer-Stiftung e.V. - Archiv für Christlich-Demokratische Politik","Nordrhein-Westfalen","Archiv","DW7LTO2TEP24DRPJOO4WY23EUQ5N26S2","'00000850","Konrad-Adenauer-Stiftung e.V. - Archiv für Christlich-Demokratische Politik","","","","1458","eeb243973be7302b97bd441c5695591106ed5936","urn:isbn:1-931666-22-9","2018-04-18T16:12:18+0200"
"eeb243973be7302b97bd441c5695591106ed5936","00000850_tektonik","EQ6CLXJTPFX72MPHLXLIZBDB42MLMIJF","'00007566","Konrad-Adenauer-Stiftung","Nordrhein-Westfalen","Archiv","DW7LTO2TEP24DRPJOO4WY23EUQ5N26S2","'00000850","Konrad-Adenauer-Stiftung e.V. - Archiv für Christlich-Demokratische Politik","","","","1458","eeb243973be7302b97bd441c5695591106ed5936","urn:isbn:1-931666-22-9","2018-04-18T16:12:18+0200"
"de630227ef0f17f0520b918699a3c010f0ac4160","00050234_full_20161208","7EESEDANEJLFF2VLDXI7R5H6A7B5L4KY","'00050234","Altonaer Museum für Kunst und Kulturgeschichte","Hamburg","Museum","XDNCPF2LBDI5VCSGTHZKY7RINDXKCMJX","'00050025","digiCULT-Verbund eG","","","","1403","de630227ef0f17f0520b918699a3c010f0ac4160","http://www.lido-schema.org/","2018-04-14T16:50:57+0200"
"de630227ef0f17f0520b918699a3c010f0ac4160","00050234_full_20161208","XDNCPF2LBDI5VCSGTHZKY7RINDXKCMJX","'00050025","digiCULT-Verbund eG","Schleswig-Holstein","Museum","XDNCPF2LBDI5VCSGTHZKY7RINDXKCMJX","'00050025","digiCULT-Verbund eG","","","","1403","de630227ef0f17f0520b918699a3c010f0ac4160","http://www.lido-schema.org/","2018-04-14T16:50:57+0200"
"eb4a49593d6b77ad338db53e53ab16ff805bca9b","00007778_Book","WOGJQYZO42L7ZIZQHKFIGHG3D6XQJGYW","'00007778","Max-Planck-Institut für Wissenschaftsgeschichte","Berlin","Forschung","WOGJQYZO42L7ZIZQHKFIGHG3D6XQJGYW","'00007778","Max-Planck-Institut für Wissenschaftsgeschichte","","","","1360","eb4a49593d6b77ad338db53e53ab16ff805bca9b","index.meta","2018-04-12T05:26:59+0200"
"8117b376d50acd7c92f8ca47a786bdcd779c093a","00011946_20160320","PH6MDT3GZG4M4NWB2RO66JMHYEUUFQOH","'00006024","Christian-Albrechts-Universität zu Kiel","Schleswig-Holstein","Forschung","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","","","","1327","8117b376d50acd7c92f8ca47a786bdcd779c093a","http://www.loc.gov/METS/","2018-04-29T00:12:06+0200"
"8117b376d50acd7c92f8ca47a786bdcd779c093a","00011946_20160320","TY4LTKZZ2GIISVAT2IBMYP4AROCQ4574","'00011946","Christian-Albrechts-Universität zu Kiel. Universitätsbibliothek","Schleswig-Holstein","Bibliothek","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","","","","1327","8117b376d50acd7c92f8ca47a786bdcd779c093a","http://www.loc.gov/METS/","2018-04-29T00:12:06+0200"
"8117b376d50acd7c92f8ca47a786bdcd779c093a","00011946_20160320","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","Niedersachsen","Bibliothek","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","","","","1327","8117b376d50acd7c92f8ca47a786bdcd779c093a","http://www.loc.gov/METS/","2018-04-29T00:12:06+0200"
"d05cced6608c4c7790660d175f8148b99fed2c76","00014761_part_20170721","R7K5YPOMO6QRPENPN6PZBNSG2WOUTHBB","'00014761","Berlinische Galerie - Museum für Moderne Kunst","Berlin","Museum","R7K5YPOMO6QRPENPN6PZBNSG2WOUTHBB","'00014761","Berlinische Galerie - Museum für Moderne Kunst","","","","1307","d05cced6608c4c7790660d175f8148b99fed2c76","http://www.lido-schema.org/","2018-04-16T17:53:42+0200"
"ab7766efe1d56295ad7039a385d4f540fadbb148","99901083_20150316","QGEXMSIIJIOCXMY2EI6QOTCLOOHKWQSQ","'99901083","Deutsches Architekturmuseum - Archiv","Hessen","Archiv","QGEXMSIIJIOCXMY2EI6QOTCLOOHKWQSQ","'99901083","Deutsches Architekturmuseum - Archiv","","","","1289","ab7766efe1d56295ad7039a385d4f540fadbb148","http://www.europeana.eu/schemas/ese/","2018-04-12T05:08:09+0200"
"ab7766efe1d56295ad7039a385d4f540fadbb148","99901083_20150316","Z3C5F6OSJ7T2RXD6RH3CQSJZISFAIMZH","'00006280","Deutsches Architekturmuseum","Hessen","Museum","QGEXMSIIJIOCXMY2EI6QOTCLOOHKWQSQ","'99901083","Deutsches Architekturmuseum - Archiv","","","","1289","ab7766efe1d56295ad7039a385d4f540fadbb148","http://www.europeana.eu/schemas/ese/","2018-04-12T05:08:09+0200"
"b3cb45a015b3d710f0bdd03f669a02cbd20d87d8","00000762_tektonik","UEF3H2TTTZXZAR4MMW6YCCXRAKYCWKGR","'00000762","Hessisches Staatsarchiv Darmstadt","Hessen","Archiv","UEF3H2TTTZXZAR4MMW6YCCXRAKYCWKGR","'00000762","Hessisches Staatsarchiv Darmstadt","","","","1278","b3cb45a015b3d710f0bdd03f669a02cbd20d87d8","urn:isbn:1-931666-22-9","2018-04-19T17:00:16+0200"
"7ec9eb27af85620b9c5ba1076b7631667ff6ede4","00000327_tektonik","2232YVSIZTZYDAZIBI25LW3TZUY6DZVH","'00000327","Bayerisches Hauptstaatsarchiv","Bayern","Archiv","2232YVSIZTZYDAZIBI25LW3TZUY6DZVH","'00000327","Bayerisches Hauptstaatsarchiv","","","","1208","7ec9eb27af85620b9c5ba1076b7631667ff6ede4","urn:isbn:1-931666-22-9","2018-04-17T11:38:04+0200"
"6e11e4c7004b0a7b85997564a72273967a7f5cac","00001215_tektonik","UQZA7YG6RCTIMUUI5P4P2BKEFAJQVF4L","'00001215","Staatsarchiv Bamberg","Bayern","Archiv","UQZA7YG6RCTIMUUI5P4P2BKEFAJQVF4L","'00001215","Staatsarchiv Bamberg","","","","1162","6e11e4c7004b0a7b85997564a72273967a7f5cac","urn:isbn:1-931666-22-9","2018-04-19T18:00:08+0200"
"db4d139067ce6d3002eadbdd13d26fee4fa682ac","00001220_DE-2047_tektonik","DIMDYBEMBJSTIIOFG5JDOQMVGAMDKYD3","'00001220","Staatsarchiv Nürnberg","Bayern","Archiv","DIMDYBEMBJSTIIOFG5JDOQMVGAMDKYD3","'00001220","Staatsarchiv Nürnberg","","","","1006","db4d139067ce6d3002eadbdd13d26fee4fa682ac","urn:isbn:1-931666-22-9","2018-04-18T16:05:20+0200"
